SLUG URL,Pillar,Weight,Score,Basis
bih,Ground forces,20%,38.8,"Tanks, armor & artillery weighted by type"
bih,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bih,Air power,25%,14.7,Weighted by aircraft type and fleet age
bih,Nuclear deterrent,10%,0.0,No declared nuclear capability
bih,Defense budget,10%,22.9,"Annual spending, purchasing-power adjusted"
bih,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
irl,Manpower,15%,47.3,"Active, reserve & paramilitary personnel"
irl,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
irl,Naval power,20%,17.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
irl,Air power,25%,21.0,Weighted by aircraft type and fleet age
irl,Nuclear deterrent,10%,0.0,No declared nuclear capability
irl,Defense budget,10%,34.9,"Annual spending, purchasing-power adjusted"
irl,Readiness,modifier,×1.08,"Budget per soldier: proxy for training, maintenance & technology"
ssd,Manpower,15%,71.6,"Active, reserve & paramilitary personnel"
ssd,Ground forces,20%,35.3,"Tanks, armor & artillery weighted by type"
ssd,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ssd,Air power,25%,17.4,Weighted by aircraft type and fleet age
ssd,Nuclear deterrent,10%,0.0,No declared nuclear capability
ssd,Defense budget,10%,23.0,"Annual spending, purchasing-power adjusted"
ssd,Readiness,modifier,×0.80,"Budget per soldier: proxy for training, maintenance & technology"
mkd,Manpower,15%,47.5,"Active, reserve & paramilitary personnel"
mkd,Ground forces,20%,32.0,"Tanks, armor & artillery weighted by type"
mkd,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mkd,Air power,25%,14.7,Weighted by aircraft type and fleet age
mkd,Nuclear deterrent,10%,0.0,No declared nuclear capability
mkd,Defense budget,10%,25.4,"Annual spending, purchasing-power adjusted"
mkd,Readiness,modifier,×1.01,"Budget per soldier: proxy for training, maintenance & technology"
slv,Manpower,15%,56.4,"Active, reserve & paramilitary personnel"
slv,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
slv,Naval power,20%,17.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
slv,Air power,25%,24.8,Weighted by aircraft type and fleet age
slv,Nuclear deterrent,10%,0.0,No declared nuclear capability
slv,Defense budget,10%,27.0,"Annual spending, purchasing-power adjusted"
slv,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
cog,Manpower,15%,46.6,"Active, reserve & paramilitary personnel"
cog,Ground forces,20%,35.3,"Tanks, armor & artillery weighted by type"
cog,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
cog,Air power,25%,16.6,Weighted by aircraft type and fleet age
cog,Nuclear deterrent,10%,0.0,No declared nuclear capability
cog,Defense budget,10%,21.4,"Annual spending, purchasing-power adjusted"
cog,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
mrt,Manpower,15%,50.6,"Active, reserve & paramilitary personnel"
mrt,Ground forces,20%,33.8,"Tanks, armor & artillery weighted by type"
mrt,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mrt,Air power,25%,15.0,Weighted by aircraft type and fleet age
mrt,Nuclear deterrent,10%,0.0,No declared nuclear capability
mrt,Defense budget,10%,23.6,"Annual spending, purchasing-power adjusted"
mrt,Readiness,modifier,×0.94,"Budget per soldier: proxy for training, maintenance & technology"
hnd,Manpower,15%,59.2,"Active, reserve & paramilitary personnel"
hnd,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
hnd,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
hnd,Air power,25%,30.5,Weighted by aircraft type and fleet age
hnd,Nuclear deterrent,10%,0.0,No declared nuclear capability
hnd,Defense budget,10%,28.9,"Annual spending, purchasing-power adjusted"
hnd,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
nic,Manpower,15%,47.6,"Active, reserve & paramilitary personnel"
nic,Ground forces,20%,44.9,"Tanks, armor & artillery weighted by type"
nic,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
nic,Air power,25%,14.1,Weighted by aircraft type and fleet age
nic,Nuclear deterrent,10%,0.0,No declared nuclear capability
nic,Defense budget,10%,17.4,"Annual spending, purchasing-power adjusted"
nic,Readiness,modifier,×0.90,"Budget per soldier: proxy for training, maintenance & technology"
rwa,Manpower,15%,56.2,"Active, reserve & paramilitary personnel"
rwa,Ground forces,20%,33.5,"Tanks, armor & artillery weighted by type"
rwa,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
rwa,Air power,25%,18.1,Weighted by aircraft type and fleet age
rwa,Nuclear deterrent,10%,0.0,No declared nuclear capability
rwa,Defense budget,10%,21.3,"Annual spending, purchasing-power adjusted"
rwa,Readiness,modifier,×0.87,"Budget per soldier: proxy for training, maintenance & technology"
civ,Manpower,15%,54.5,"Active, reserve & paramilitary personnel"
civ,Ground forces,20%,21.6,"Tanks, armor & artillery weighted by type"
civ,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
civ,Air power,25%,15.4,Weighted by aircraft type and fleet age
civ,Nuclear deterrent,10%,0.0,No declared nuclear capability
civ,Defense budget,10%,30.6,"Annual spending, purchasing-power adjusted"
civ,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
tgo,Manpower,15%,45.7,"Active, reserve & paramilitary personnel"
tgo,Ground forces,20%,20.1,"Tanks, armor & artillery weighted by type"
tgo,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tgo,Air power,25%,20.7,Weighted by aircraft type and fleet age
tgo,Nuclear deterrent,10%,0.0,No declared nuclear capability
tgo,Defense budget,10%,22.9,"Annual spending, purchasing-power adjusted"
tgo,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
gin,Manpower,15%,46.2,"Active, reserve & paramilitary personnel"
gin,Ground forces,20%,24.9,"Tanks, armor & artillery weighted by type"
gin,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gin,Air power,25%,10.6,Weighted by aircraft type and fleet age
gin,Nuclear deterrent,10%,0.0,No declared nuclear capability
gin,Defense budget,10%,28.5,"Annual spending, purchasing-power adjusted"
gin,Readiness,modifier,×1.03,"Budget per soldier: proxy for training, maintenance & technology"
bfa,Manpower,15%,48.0,"Active, reserve & paramilitary personnel"
bfa,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
bfa,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bfa,Air power,25%,24.3,Weighted by aircraft type and fleet age
bfa,Nuclear deterrent,10%,0.0,No declared nuclear capability
bfa,Defense budget,10%,33.6,"Annual spending, purchasing-power adjusted"
bfa,Readiness,modifier,×1.06,"Budget per soldier: proxy for training, maintenance & technology"
pry,Manpower,15%,66.0,"Active, reserve & paramilitary personnel"
pry,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
pry,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
pry,Air power,25%,21.5,Weighted by aircraft type and fleet age
pry,Nuclear deterrent,10%,0.0,No declared nuclear capability
pry,Defense budget,10%,25.7,"Annual spending, purchasing-power adjusted"
pry,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
est,Manpower,15%,56.1,"Active, reserve & paramilitary personnel"
est,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
est,Naval power,20%,10.3,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
est,Air power,25%,6.4,Weighted by aircraft type and fleet age
est,Nuclear deterrent,10%,0.0,No declared nuclear capability
est,Defense budget,10%,36.3,"Annual spending, purchasing-power adjusted"
est,Readiness,modifier,×1.12,"Budget per soldier: proxy for training, maintenance & technology"
bwa,Manpower,15%,45.3,"Active, reserve & paramilitary personnel"
bwa,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
bwa,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bwa,Air power,25%,27.5,Weighted by aircraft type and fleet age
bwa,Nuclear deterrent,10%,0.0,No declared nuclear capability
bwa,Defense budget,10%,29.2,"Annual spending, purchasing-power adjusted"
bwa,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
cmr,Manpower,15%,54.7,"Active, reserve & paramilitary personnel"
cmr,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
cmr,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
cmr,Air power,25%,25.4,Weighted by aircraft type and fleet age
cmr,Nuclear deterrent,10%,0.0,No declared nuclear capability
cmr,Defense budget,10%,28.6,"Annual spending, purchasing-power adjusted"
cmr,Readiness,modifier,×0.96,"Budget per soldier: proxy for training, maintenance & technology"
gnq,Manpower,15%,35.2,"Active, reserve & paramilitary personnel"
gnq,Ground forces,20%,18.2,"Tanks, armor & artillery weighted by type"
gnq,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gnq,Air power,25%,22.7,Weighted by aircraft type and fleet age
gnq,Nuclear deterrent,10%,0.0,No declared nuclear capability
gnq,Defense budget,10%,19.0,"Annual spending, purchasing-power adjusted"
gnq,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
bdi,Manpower,15%,56.9,"Active, reserve & paramilitary personnel"
bdi,Ground forces,20%,26.6,"Tanks, armor & artillery weighted by type"
bdi,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bdi,Air power,25%,13.9,Weighted by aircraft type and fleet age
bdi,Nuclear deterrent,10%,0.0,No declared nuclear capability
bdi,Defense budget,10%,17.9,"Annual spending, purchasing-power adjusted"
bdi,Readiness,modifier,×0.84,"Budget per soldier: proxy for training, maintenance & technology"
pan,Manpower,15%,44.1,"Active, reserve & paramilitary personnel"
pan,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
pan,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
pan,Air power,25%,22.8,Weighted by aircraft type and fleet age
pan,Nuclear deterrent,10%,0.0,No declared nuclear capability
pan,Defense budget,10%,32.9,"Annual spending, purchasing-power adjusted"
pan,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
sen,Manpower,15%,49.5,"Active, reserve & paramilitary personnel"
sen,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
sen,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
sen,Air power,25%,21.3,Weighted by aircraft type and fleet age
sen,Nuclear deterrent,10%,0.0,No declared nuclear capability
sen,Defense budget,10%,28.5,"Annual spending, purchasing-power adjusted"
sen,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
npl,Manpower,15%,66.0,"Active, reserve & paramilitary personnel"
npl,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
npl,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
npl,Air power,25%,19.8,Weighted by aircraft type and fleet age
npl,Nuclear deterrent,10%,0.0,No declared nuclear capability
npl,Defense budget,10%,27.0,"Annual spending, purchasing-power adjusted"
npl,Readiness,modifier,×0.85,"Budget per soldier: proxy for training, maintenance & technology"
gha,Manpower,15%,49.7,"Active, reserve & paramilitary personnel"
gha,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
gha,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gha,Air power,25%,23.5,Weighted by aircraft type and fleet age
gha,Nuclear deterrent,10%,0.0,No declared nuclear capability
gha,Defense budget,10%,25.2,"Annual spending, purchasing-power adjusted"
gha,Readiness,modifier,×0.96,"Budget per soldier: proxy for training, maintenance & technology"
gab,Manpower,15%,41.1,"Active, reserve & paramilitary personnel"
gab,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
gab,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gab,Air power,25%,23.7,Weighted by aircraft type and fleet age
gab,Nuclear deterrent,10%,0.0,No declared nuclear capability
gab,Defense budget,10%,24.8,"Annual spending, purchasing-power adjusted"
gab,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
brn,Manpower,15%,44.0,"Active, reserve & paramilitary personnel"
brn,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
brn,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
brn,Air power,25%,19.9,Weighted by aircraft type and fleet age
brn,Nuclear deterrent,10%,0.0,No declared nuclear capability
brn,Defense budget,10%,29.0,"Annual spending, purchasing-power adjusted"
brn,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
ner,Manpower,15%,43.9,"Active, reserve & paramilitary personnel"
ner,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
ner,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ner,Air power,25%,19.9,Weighted by aircraft type and fleet age
ner,Nuclear deterrent,10%,0.0,No declared nuclear capability
ner,Defense budget,10%,27.2,"Annual spending, purchasing-power adjusted"
ner,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
lva,Manpower,15%,48.9,"Active, reserve & paramilitary personnel"
lva,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
lva,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lva,Air power,25%,9.4,Weighted by aircraft type and fleet age
lva,Nuclear deterrent,10%,0.0,No declared nuclear capability
lva,Defense budget,10%,37.1,"Annual spending, purchasing-power adjusted"
lva,Readiness,modifier,×1.13,"Budget per soldier: proxy for training, maintenance & technology"
mdg,Manpower,15%,49.9,"Active, reserve & paramilitary personnel"
mdg,Ground forces,20%,22.9,"Tanks, armor & artillery weighted by type"
mdg,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mdg,Air power,25%,8.3,Weighted by aircraft type and fleet age
mdg,Nuclear deterrent,10%,0.0,No declared nuclear capability
mdg,Defense budget,10%,18.7,"Annual spending, purchasing-power adjusted"
mdg,Readiness,modifier,×0.90,"Budget per soldier: proxy for training, maintenance & technology"
jam,Manpower,15%,41.1,"Active, reserve & paramilitary personnel"
jam,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
jam,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
jam,Air power,25%,21.3,Weighted by aircraft type and fleet age
jam,Nuclear deterrent,10%,0.0,No declared nuclear capability
jam,Defense budget,10%,24.7,"Annual spending, purchasing-power adjusted"
jam,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
dji,Manpower,15%,46.9,"Active, reserve & paramilitary personnel"
dji,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
dji,Naval power,20%,16.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
dji,Air power,25%,17.0,Weighted by aircraft type and fleet age
dji,Nuclear deterrent,10%,0.0,No declared nuclear capability
dji,Defense budget,10%,11.8,"Annual spending, purchasing-power adjusted"
dji,Readiness,modifier,×0.84,"Budget per soldier: proxy for training, maintenance & technology"
caf,Manpower,15%,47.3,"Active, reserve & paramilitary personnel"
caf,Ground forces,20%,20.1,"Tanks, armor & artillery weighted by type"
caf,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
caf,Air power,25%,3.2,Weighted by aircraft type and fleet age
caf,Nuclear deterrent,10%,0.0,No declared nuclear capability
caf,Defense budget,10%,15.3,"Annual spending, purchasing-power adjusted"
caf,Readiness,modifier,×0.89,"Budget per soldier: proxy for training, maintenance & technology"
mne,Manpower,15%,39.1,"Active, reserve & paramilitary personnel"
mne,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
mne,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mne,Air power,25%,14.4,Weighted by aircraft type and fleet age
mne,Nuclear deterrent,10%,0.0,No declared nuclear capability
mne,Defense budget,10%,20.6,"Annual spending, purchasing-power adjusted"
mne,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
ben,Manpower,15%,45.0,"Active, reserve & paramilitary personnel"
ben,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
ben,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ben,Air power,25%,14.2,Weighted by aircraft type and fleet age
ben,Nuclear deterrent,10%,0.0,No declared nuclear capability
ben,Defense budget,10%,20.0,"Annual spending, purchasing-power adjusted"
ben,Readiness,modifier,×0.96,"Budget per soldier: proxy for training, maintenance & technology"
mda,Manpower,15%,56.5,"Active, reserve & paramilitary personnel"
mda,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
mda,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mda,Air power,25%,6.6,Weighted by aircraft type and fleet age
mda,Nuclear deterrent,10%,0.0,No declared nuclear capability
mda,Defense budget,10%,18.0,"Annual spending, purchasing-power adjusted"
mda,Readiness,modifier,×0.96,"Budget per soldier: proxy for training, maintenance & technology"
tto,Manpower,15%,39.1,"Active, reserve & paramilitary personnel"
tto,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
tto,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tto,Air power,25%,12.2,Weighted by aircraft type and fleet age
tto,Nuclear deterrent,10%,0.0,No declared nuclear capability
tto,Defense budget,10%,22.8,"Annual spending, purchasing-power adjusted"
tto,Readiness,modifier,×1.03,"Budget per soldier: proxy for training, maintenance & technology"
guy,Manpower,15%,38.5,"Active, reserve & paramilitary personnel"
guy,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
guy,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
guy,Air power,25%,12.0,Weighted by aircraft type and fleet age
guy,Nuclear deterrent,10%,0.0,No declared nuclear capability
guy,Defense budget,10%,22.5,"Annual spending, purchasing-power adjusted"
guy,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
mwi,Manpower,15%,47.6,"Active, reserve & paramilitary personnel"
mwi,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
mwi,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mwi,Air power,25%,13.8,Weighted by aircraft type and fleet age
mwi,Nuclear deterrent,10%,0.0,No declared nuclear capability
mwi,Defense budget,10%,16.9,"Annual spending, purchasing-power adjusted"
mwi,Readiness,modifier,×0.90,"Budget per soldier: proxy for training, maintenance & technology"
lux,Manpower,15%,29.6,"Active, reserve & paramilitary personnel"
lux,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
lux,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lux,Air power,25%,3.6,Weighted by aircraft type and fleet age
lux,Nuclear deterrent,10%,0.0,No declared nuclear capability
lux,Defense budget,10%,38.3,"Annual spending, purchasing-power adjusted"
lux,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
mlt,Manpower,15%,34.2,"Active, reserve & paramilitary personnel"
mlt,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
mlt,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mlt,Air power,25%,10.7,Weighted by aircraft type and fleet age
mlt,Nuclear deterrent,10%,0.0,No declared nuclear capability
mlt,Defense budget,10%,18.8,"Annual spending, purchasing-power adjusted"
mlt,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
png,Manpower,15%,38.2,"Active, reserve & paramilitary personnel"
png,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
png,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
png,Air power,25%,7.3,Weighted by aircraft type and fleet age
png,Nuclear deterrent,10%,0.0,No declared nuclear capability
png,Defense budget,10%,17.2,"Annual spending, purchasing-power adjusted"
png,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
lso,Manpower,15%,33.9,"Active, reserve & paramilitary personnel"
lso,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
lso,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
lso,Air power,25%,12.6,Weighted by aircraft type and fleet age
lso,Nuclear deterrent,10%,0.0,No declared nuclear capability
lso,Defense budget,10%,11.5,"Annual spending, purchasing-power adjusted"
lso,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
bhs,Manpower,15%,30.9,"Active, reserve & paramilitary personnel"
bhs,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
bhs,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bhs,Air power,25%,3.7,Weighted by aircraft type and fleet age
bhs,Nuclear deterrent,10%,0.0,No declared nuclear capability
bhs,Defense budget,10%,18.1,"Annual spending, purchasing-power adjusted"
bhs,Readiness,modifier,×1.06,"Budget per soldier: proxy for training, maintenance & technology"
sle,Manpower,15%,44.8,"Active, reserve & paramilitary personnel"
sle,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
sle,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
sle,Air power,25%,2.8,Weighted by aircraft type and fleet age
sle,Nuclear deterrent,10%,0.0,No declared nuclear capability
sle,Defense budget,10%,11.6,"Annual spending, purchasing-power adjusted"
sle,Readiness,modifier,×0.85,"Budget per soldier: proxy for training, maintenance & technology"
blz,Manpower,15%,34.2,"Active, reserve & paramilitary personnel"
blz,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
blz,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
blz,Air power,25%,4.9,Weighted by aircraft type and fleet age
blz,Nuclear deterrent,10%,0.0,No declared nuclear capability
blz,Defense budget,10%,11.2,"Annual spending, purchasing-power adjusted"
blz,Readiness,modifier,×0.96,"Budget per soldier: proxy for training, maintenance & technology"
gmb,Manpower,15%,27.6,"Active, reserve & paramilitary personnel"
gmb,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
gmb,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gmb,Air power,25%,7.9,Weighted by aircraft type and fleet age
gmb,Nuclear deterrent,10%,0.0,No declared nuclear capability
gmb,Defense budget,10%,7.6,"Annual spending, purchasing-power adjusted"
gmb,Readiness,modifier,×0.95,"Budget per soldier: proxy for training, maintenance & technology"
syc,Manpower,15%,23.5,"Active, reserve & paramilitary personnel"
syc,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
syc,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
syc,Air power,25%,6.5,Weighted by aircraft type and fleet age
syc,Nuclear deterrent,10%,0.0,No declared nuclear capability
syc,Defense budget,10%,11.3,"Annual spending, purchasing-power adjusted"
syc,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
sur,Manpower,15%,33.3,"Active, reserve & paramilitary personnel"
sur,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
sur,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
sur,Air power,25%,5.2,Weighted by aircraft type and fleet age
sur,Nuclear deterrent,10%,0.0,No declared nuclear capability
sur,Defense budget,10%,0.0,Data unavailable
sur,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
atg,Manpower,15%,21.0,"Active, reserve & paramilitary personnel"
atg,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
atg,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
atg,Air power,25%,2.7,Weighted by aircraft type and fleet age
atg,Nuclear deterrent,10%,0.0,No declared nuclear capability
atg,Defense budget,10%,0.0,Data unavailable
atg,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
swz,Manpower,15%,0.0,"Active, reserve & paramilitary personnel"
swz,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
swz,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
swz,Air power,25%,7.4,Weighted by aircraft type and fleet age
swz,Nuclear deterrent,10%,0.0,No declared nuclear capability
swz,Defense budget,10%,15.2,"Annual spending, purchasing-power adjusted"
swz,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
mdv,Manpower,15%,0.0,"Active, reserve & paramilitary personnel"
mdv,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
mdv,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mdv,Air power,25%,9.3,Weighted by aircraft type and fleet age
mdv,Nuclear deterrent,10%,0.0,No declared nuclear capability
mdv,Defense budget,10%,0.0,Data unavailable
mdv,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
btn,Manpower,15%,0.0,"Active, reserve & paramilitary personnel"
btn,Ground forces,20%,0.0,"Tanks, armor & artillery weighted by type"
btn,Naval power,20%,0.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
btn,Air power,25%,4.0,Weighted by aircraft type and fleet age
btn,Nuclear deterrent,10%,0.0,No declared nuclear capability
btn,Defense budget,10%,0.0,Data unavailable
btn,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
