Naval Base Name,Operated by,Homeported ships,Type,Established
Naval Support Activity Panama City,🇺🇸 United States,0,Support & logistics,1945
Naval Support Facility Deveselu,🇺🇸 United States · in 🇷🇴 Romania,0,Support & logistics,1952
Naval Support Facility Diego Garcia,🇺🇸 United States · in 🇬🇧 United Kingdom,0,Support & logistics,1971
Naval Support Facility Redzikowo,🇺🇸 United States · in 🇵🇱 Poland,0,Support & logistics,2024
Naval Weapons Station Earle,🇺🇸 United States,0,Support & logistics,1943
Naval Weapons Station Seal Beach,🇺🇸 United States,0,Support & logistics,0
Naval Weapons Station Yorktown,🇺🇸 United States,0,Support & logistics,1918
Ngong Shuen Chau Naval Base,🇨🇳 China,0,Main operating base,1997
Ningbo Naval Base,🇨🇳 China,0,Fleet headquarters,1955
Norfolk Naval Shipyard,🇺🇸 United States,0,Shipyard & arsenal,1767
Novorossiysk Naval Base,🇷🇺 Russia,0,Main operating base,2003
Ochamchire Naval BasePlanned,🇷🇺 Russia · in 🇬🇪 Georgia,0,Main operating base,1933
Olenya Bay Naval Base,🇷🇺 Russia,Belgorod +1,Submarine base,1979
PLA Support Base in Djibouti,🇨🇳 China · in 🇩🇯 Djibouti,0,Support & logistics,2017
PNS Akram,🇵🇰 Pakistan,0,Main operating base,1983
PNS Himalaya,🇵🇰 Pakistan,0,Support & logistics,1943
PNS Qasim,🇵🇰 Pakistan,0,Main operating base,1990
Pearl Harbor Naval Shipyard,🇺🇸 United States,0,Shipyard & arsenal,1908
Polyarny Naval Base,🇷🇺 Russia,0,Main operating base,1896
Portsmouth Naval Shipyard,🇺🇸 United States,0,Shipyard & arsenal,1800
Puerto Belgrano Naval Base,🇦🇷 Argentina,Almirante Brown +1,Fleet headquarters,1896
Puget Sound Naval Shipyard,🇺🇸 United States,0,Shipyard & arsenal,1891
Qeshm Naval Base,🇮🇷 Iran,0,Main operating base,0
Qingdao Naval Base,🇨🇳 China,Type 001,Fleet headquarters,1950
RNAD Coulport,🇬🇧 United Kingdom,0,Support & logistics,1968
Ream Naval Base,🇨🇳 China • 🇰🇭 Cambodia,0,Support & logistics,0
Rio de Janeiro Navy Arsenal,🇧🇷 Brazil,0,Shipyard & arsenal,1763
Salamis Naval Base,🇬🇷 Greece,0,Fleet headquarters,1881
