SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
j-16-flanker-n,https://globalmilitary.net/aircraft/j-16-flanker-n/,J-16 Qianlong,2,21.9 m (71.9 ft),14.7 m (48.2 ft),6.4 m (20.9 ft),62 m² (667.4 sqft),"17,700 kg (39,022 lbs)","35,000 kg (77,162 lbs)","2 × turbofans Shenyang WS-10B 13,766 kgf each",Zvezda K-36DM,2120 km/h (Mach 2.12),"4,000 km (2,485 mi)","17,300 m (56,759 ft)",230.0 m/s (754.6 ft/s),
j20-kraguj,https://globalmilitary.net/aircraft/j20-kraguj/,J-20 Kraguj,1,7.9 m (26.0 ft),10.6 m (34.9 ft),3 m (9.8 ft),17 m² (183.0 sqft),"1,130 kg (2,491 lbs)","1,624 kg (3,580 lbs)",1 × pistons engine Lycoming GSO-480-B1A6 254 kW each,,295 km/h (183 mph),800 km (497 mi),"8,000 m (26,247 ft)",8.0 m/s (26.2 ft/s),
j20-mighty-dragon,https://globalmilitary.net/aircraft/j20-mighty-dragon/,J-20 Mighty Dragon,1,21.2 m (69.6 ft),13.0 m (42.7 ft),4.7 m (15.4 ft),73 m² (785.8 sqft),"17,000 kg (37,479 lbs)","37,000 kg (81,571 lbs)","2 × Shenyang WS-10C afterburning turbofan 14,480 kgf each",HTY-6G,2130 km/h (Mach 2.13),"5,500 km (3,418 mi)","20,000 m (65,617 ft)",304.0 m/s (997.4 ft/s),
j21-jastreb,https://globalmilitary.net/aircraft/j21-jastreb/,J-21 Jastreb,1,10.9 m (35.7 ft),10.6 m (34.6 ft),3.6 m (11.9 ft),19.4 m² (209.1 sqft),,"5,100 kg (11,244 lbs)",1 × BMB Viper Mk 531 13 kN each,,820 km/h (510 mph),"1,520 km (944 mi)","12,000 m (39,370 ft)",21.0 m/s (68.9 ft/s),
j29-tunnan,https://globalmilitary.net/aircraft/j29-tunnan/,J-29 Tunnan,1,11 m (36.1 ft),10.2 m (33.6 ft),3.8 m (12.3 ft),24.2 m² (259.9 sqft),"4,845 kg (10,681 lbs)","8,375 kg (18,464 lbs)","1 × turbojet Volvo RM2B 2,753 kgf each",SAAB Mk-2,1060 km/h (Mach 1.06),"1,100 km (684 mi)","15,500 m (50,853 ft)",32.1 m/s (105.3 ft/s),
j35-draken,https://globalmilitary.net/aircraft/j35-draken/,J-35 Draken,1,15.3 m (50.3 ft),9.4 m (30.9 ft),3.9 m (12.8 ft),49.2 m² (529.8 sqft),"7,865 kg (17,339 lbs)","16,000 kg (35,274 lbs)","1 × turbojet Volvo RM6C 7,995 kgf each",SAAB RS-35,2120 km/h (Mach 2.12),"2,750 km (1,709 mi)","20,000 m (65,617 ft)",175.0 m/s (574.1 ft/s),"650 m (2,133 ft)"
j36,https://globalmilitary.net/aircraft/j36/,J-36,2 (side-by-side),,,,,,,,,,,,,,
j5-fresco,https://globalmilitary.net/aircraft/j5-fresco/,J-5 Fresco,1,11.1 m (36.4 ft),9.6 m (31.6 ft),3.8 m (12.5 ft),22.6 m² (243.3 sqft),"3,939 kg (8,684 lbs)","6,000 kg (13,228 lbs)",1 × Wopen WP-5 33 kN each,1130 km/h (Mach 1.13),"1,730 km (1,075 mi)","16,500 m (54,134 ft)",65.0 m/s (213.3 ft/s),,,
j50,https://globalmilitary.net/aircraft/j50/,J-50,1 (assessed),,,,,,,,,,,,,,
j6-farmer,https://globalmilitary.net/aircraft/j6-farmer/,J-6 Farmer,1,14.6 m (48.0 ft),9 m (29.5 ft),3.9 m (12.7 ft),25.2 m² (270.8 sqft),"5,172 kg (11,402 lbs)","8,832 kg (19,471 lbs)",2 × Wopen WP-6A 32 kN each,1540 km/h (Mach 1.54),"2,200 km (1,367 mi)","17,900 m (58,727 ft)",180.0 m/s (590.6 ft/s),1 hours,,
j7-fishcan,https://globalmilitary.net/aircraft/j7-fishcan/,J-7 Fishcan,1,14.0 m (45.8 ft),8.3 m (27.3 ft),4.1 m (13.5 ft),24.9 m² (267.8 sqft),"5,292 kg (11,667 lbs)","9,100 kg (20,062 lbs)","1 × Liyang Wopen-13F afterburning turbojet 6,598 kgf each",2200 km/h (Mach 2.2),"2,200 km (1,367 mi)","17,500 m (57,415 ft)",195.0 m/s (639.8 ft/s),,HTY-2,
j8-finback,https://globalmilitary.net/aircraft/j8-finback/,J-8 Finback,,21.5 m (70.6 ft),9.3 m (30.7 ft),5.4 m (17.7 ft),,"10,371 kg (22,864 lbs)","18,879 kg (41,621 lbs)","2 × turbojets Guizhou WP-13B 6,999 kgf each",2300 km/h (Mach 2.3),"1,000 km (621 mi)","18,000 m (59,055 ft)",224.0 m/s (734.9 ft/s),,HTY-4,"630 m (2,067 ft)"
ja-37-viggen,https://globalmilitary.net/aircraft/ja-37-viggen/,JA 37 Viggen,1,16.4 m (53.8 ft),10.6 m (34.8 ft),5.9 m (19.4 ft),46 m² (495.1 sqft),"9,500 kg (20,944 lbs)","20,000 kg (44,092 lbs)","1 × turbofan Volvo RM8B 12,746 kgf each",2231 km/h (Mach 2.23),"1,820 km (1,131 mi)","18,000 m (59,055 ft)",203.0 m/s (666.0 ft/s),,SAAB FPL,
jas-39-gripen,https://globalmilitary.net/aircraft/jas-39-gripen/,JAS 39 Gripen,1,14.9 m (48.9 ft),8.4 m (27.6 ft),4.5 m (14.8 ft),30 m² (322.9 sqft),"6,800 kg (14,991 lbs)","14,000 kg (30,865 lbs)","1 × turbofan Volvo RM12 8,209 kgf each",2100 km/h (Mach 2.1),"4,000 km (2,485 mi)","15,240 m (50,000 ft)",254.0 m/s (833.3 ft/s),,Martin-Baker Mk 10,
jf-17-thunder,https://globalmilitary.net/aircraft/jf-17-thunder/,JF-17 Thunder,1,14 m (45.9 ft),9 m (29.5 ft),4.8 m (15.6 ft),24.4 m² (262.6 sqft),"6,411 kg (14,134 lbs)","12,701 kg (28,001 lbs)","1 × turbofan Klimov RD-93 8,606 kgf each",1960 km/h (Mach 1.96),900 km (559 mi),"16,700 m (54,790 ft)",300.0 m/s (984.3 ft/s),,Martin-Baker Mk 16LE,
jh-7-flounder,https://globalmilitary.net/aircraft/jh-7-flounder/,JH-7 Flounder,"2 (pilot, WSO)",22.3 m (73.2 ft),12.8 m (42.0 ft),6.2 m (20.4 ft),52.3 m² (563.0 sqft),"14,500 kg (31,967 lbs)","28,475 kg (62,777 lbs)","2 × turbofans Xian WS-9 11,114 kgf each",1808 km/h (Mach 1.81),900 km (559 mi),"16,000 m (52,493 ft)",,,Zvezda K-36DM,
jl-10,https://globalmilitary.net/aircraft/jl-10/,JL-10,12.6 m (41.3 ft),9.5 m (31.1 ft),4.8 m (15.8 ft),"4,500 kg (9,921 lbs)","9,500 kg (20,944 lbs)","2 × turbofans Ivchenko-Progress AI-222-25F 4,201 kgf each",HTY-5,1715 km/h (Mach 1.72),"2,600 km (1,616 mi)","16,000 m (52,493 ft)",200.0 m/s (656.2 ft/s),,,,
jl-8,https://globalmilitary.net/aircraft/jl-8/,JL-8,11.6 m (38.1 ft),9.6 m (31.6 ft),4.2 m (13.8 ft),"2,687 kg (5,924 lbs)","4,330 kg (9,546 lbs)","1 × turbofan Honeywell TFE731-2A-2A 1,633 kgf each",Martin-Baker Mk 10L,800 km/h (497 mph),"2,250 km (1,398 mi)","13,600 m (44,619 ft)",,2,17 m² (183.0 sqft),,
jl-9,https://globalmilitary.net/aircraft/jl-9/,JL-9,14.6 m (47.7 ft),8.3 m (27.3 ft),4.1 m (13.5 ft),"7,800 kg (17,196 lbs)","9,800 kg (21,605 lbs)","1 × turbojet Guizhou WP-13F 4,497 kgf each",TYD-6,1100 km/h (Mach 1.1),863 km (536 mi),"16,000 m (52,493 ft)",260.0 m/s (853.0 ft/s),,24.9 m² (267.8 sqft),,
jaguar,https://globalmilitary.net/aircraft/jaguar/,Jaguar,15.5 m (50.9 ft),8.7 m (28.5 ft),4.9 m (16.1 ft),"7,000 kg (15,432 lbs)","15,700 kg (34,613 lbs)","2 × turbofans Rolls-Royce-Turbomeca Adour 804 6,000 kgf each",Martin-Baker Mk 9,1699 km/h (Mach 1.7),"1,902 km (1,182 mi)","14,000 m (45,932 ft)",,1,24 m² (258.3 sqft),"565 m (1,854 ft)",
jasoos-ii,https://globalmilitary.net/aircraft/jasoos-ii/,Jasoos II,4.3 m (14.0 ft),4.9 m (16.1 ft),,,175 kg (386 lbs),"1 × 2-cylinder, 2-stroke gasoline engine 28 kW each",,130 km/h (81 mph),100 km (62 mi),"3,048 m (10,000 ft)",,,,,5 hours
jetstream-31,https://globalmilitary.net/aircraft/jetstream-31/,Jetstream 31,14.4 m (47.1 ft),16 m (52.5 ft),5.3 m (17.5 ft),"4,360 kg (9,612 lbs)","6,954 kg (15,331 lbs)",2 × turboprops Honeywell TPE331-10 671 kW each,,487 km/h (303 mph),"1,260 km (783 mi)","7,620 m (25,000 ft)",10.6 m/s (34.8 ft/s),,25 m² (269.1 sqft),,
jetstream-41,https://globalmilitary.net/aircraft/jetstream-41/,Jetstream 41,19.3 m (63.2 ft),18.4 m (60.5 ft),5.5 m (18.1 ft),"6,416 kg (14,145 lbs)","10,886 kg (23,999 lbs)","2 × turboprops AlliedSignal TPE331-14 1,230 kW each",,547 km/h (340 mph),"1,433 km (890 mi)","7,925 m (26,001 ft)",11.2 m/s (36.7 ft/s),,32 m² (344.4 sqft),,
kaan,https://globalmilitary.net/aircraft/kaan/,KAAN,20.3 m (66.6 ft),13.4 m (44.0 ft),5 m (16.4 ft),,"34,750 kg (76,611 lbs)",2 × General Electric F110-GE-129 131 kN each,,1912 km/h (Mach 1.91),,"16,764 m (55,000 ft)",,1,71.6 m² (770.7 sqft),,
kc-10-extender,https://globalmilitary.net/aircraft/kc-10-extender/,KC-10 Extender,55.4 m (181.6 ft),50.4 m (165.4 ft),17.7 m (58.1 ft),"109,328 kg (241,027 lbs)","267,619 kg (589,998 lbs)",3 × General Electric F103 (GE CF6-50C2) 234 kN each,,866 km/h (538 mph),"7,100 km (4,412 mi)","13,000 m (42,651 ft)",34.9 m/s (114.5 ft/s),"4 (aircraft commander, co-pilot, flight engineer, boom operator)",367.7 m² (3957.9 sqft),,
kc-130-hercules,https://globalmilitary.net/aircraft/kc-130-hercules/,KC-130 Hercules,29.8 m (97.9 ft),40.4 m (132.7 ft),11.6 m (38.1 ft),"34,274 kg (75,561 lbs)","79,379 kg (175,001 lbs)","4 × turboprops Rolls-Royce AE 2100D3 4,474 kW each",,670 km/h (416 mph),"5,250 km (3,262 mi)","8,534 m (27,999 ft)",,,162 m² (1743.8 sqft),"953 m (3,127 ft)",
kc-135-stratotanker,https://globalmilitary.net/aircraft/kc-135-stratotanker/,KC-135 Stratotanker,4,41.5 m (136.3 ft),39.9 m (130.8 ft),12.7 m (41.7 ft),226 m² (2432.6 sqft),"44,663 kg (98,465 lbs)","146,283 kg (322,498 lbs)","4 × turbofans CFM International F108-CF-100 9,813 kgf each",933 km/h (580 mph),"2,400 km (1,491 mi)",11 hours,"15,240 m (50,000 ft)",24.893 m/s (81.7 ft/s),
kc-46-pegasus,https://globalmilitary.net/aircraft/kc-46-pegasus/,KC-46 Pegasus,"3 (2 pilots, boom operator)",50.5 m (165.7 ft),48.1 m (157.8 ft),15.9 m (52.2 ft),,"82,377 kg (181,610 lbs)","188,240 kg (414,998 lbs)",2 × Pratt & Whitney PW4062 280 kN each,914 km/h (568 mph),"11,830 km (7,351 mi)",,"12,200 m (40,026 ft)",,
kc-767,https://globalmilitary.net/aircraft/kc-767/,KC-767,"3 (2 pilots, boom operator)",48.5 m (159.1 ft),47.6 m (156.2 ft),15.8 m (51.8 ft),,"82,377 kg (181,610 lbs)","186,880 kg (411,999 lbs)",2 × GE CF6-80C2 268 kN each,915 km/h (569 mph),"12,200 km (7,581 mi)",,"12,200 m (40,026 ft)",,
kf-21-boramae,https://globalmilitary.net/aircraft/kf-21-boramae/,KF-21 Boramae,,16.8 m (55.1 ft),11.2 m (36.7 ft),4.8 m (15.7 ft),46 m² (495.1 sqft),"11,793 kg (25,999 lbs)","25,401 kg (56,000 lbs)","2 × turbofans Hanwha F414-KI 9,983 kgf each",2200 km/h (Mach 2.2),"2,900 km (1,802 mi)",,"16,764 m (55,000 ft)",,Martin-Baker Mk 18
kj-200,https://globalmilitary.net/aircraft/kj-200/,KJ-200 Moth,,34.0 m (111.6 ft),38 m (124.7 ft),11.2 m (36.6 ft),121.9 m² (1312.1 sqft),"35,490 kg (78,242 lbs)","61,000 kg (134,482 lbs)","4 × Zhuzhou WJ-6 turboprop 3,170 kW each",660 km/h (410 mph),"5,615 km (3,489 mi)",,"10,400 m (34,121 ft)",10.0 m/s (32.8 ft/s),
kj-2000,https://globalmilitary.net/aircraft/kj-2000/,KJ-2000 Mainring,,,,,,,"175,000 kg (385,808 lbs)",Soloviev D-30KP-2,850 km/h (528 mph),"5,500 km (3,418 mi)",7 hours,,,
kj-500,https://globalmilitary.net/aircraft/kj-500/,KJ-500,,,,,,,"77,000 kg (169,756 lbs)",,550 km/h (342 mph),"5,700 km (3,542 mi)",12 hours,,,
kq-200,https://globalmilitary.net/aircraft/kq-200/,KQ-200,"13 (2 pilots, 11 mission crew)",,,,,,,4 × Wojiang WJ-6C,600 km/h (373 mph),"5,000 km (3,107 mi)",8 hours,,,
kt-1-woongbi,https://globalmilitary.net/aircraft/kt-1-woongbi/,KT-1 Woongbi,,10.3 m (33.7 ft),10.6 m (34.7 ft),3.7 m (12.1 ft),16.0 m² (172.3 sqft),"1,910 kg (4,211 lbs)","2,540 kg (5,600 lbs)",1 × turboprop Pratt & Whitney Canada PT6A-62 708 kW each,574 km/h (357 mph),"2,070 km (1,286 mi)",,"11,582 m (37,999 ft)",16.2 m/s (53.1 ft/s),Martin-Baker Mk 16LF
kt-100,https://globalmilitary.net/aircraft/kt-100/,KT-100,,8.0 m (26.3 ft),11.3 m (37.0 ft),2.7 m (8.9 ft),,"1,089 kg (2,401 lbs)","1,633 kg (3,600 lbs)",1 × pistons engine Continental TSIOF-550-K 235 kW each,389 km/h (242 mph),"1,900 km (1,181 mi)",,"5,304 m (17,402 ft)",,
kub-bla,https://globalmilitary.net/aircraft/kub-bla/,KUB-BLA,1.0 m (3.1 ft),1.2 m (4.0 ft),0.2 m (0.5 ft),130 km/h (81 mph),0 hours,,,,,,,,
kuh-1-surion,https://globalmilitary.net/aircraft/kuh-1-surion/,KUH-1 Surion,19 m (62.3 ft),15.8 m (51.8 ft),4.5 m (14.8 ft),270 km/h (168 mph),,"4,973 kg (10,964 lbs)","8,709 kg (19,200 lbs)","2 × turboshafts Samsung Techwin T700-ST-701K 1,228 kW each",828 km (514 mi),"3,048 m (10,000 ft)",8.5 m/s (27.9 ft/s),,
kus-fs,https://globalmilitary.net/aircraft/kus-fs/,KUS-FS,13 m (42.7 ft),25 m (82.0 ft),3 m (9.8 ft),360 km/h (224 mph),24 hours,,"5,750 kg (12,677 lbs)",1 × Hanwha Aerospace turboprop 890 kW each,500 km (311 mi),"13,716 m (45,000 ft)",,,
kzo,https://globalmilitary.net/aircraft/kzo/,KZO,2.3 m (7.5 ft),3.4 m (11.2 ft),,,4 hours,,,1 × Two-stroke engine,,,,,
ka-22-hoop,https://globalmilitary.net/aircraft/ka-22-hoop/,Ka-22 Hoop,27 m (88.6 ft),22.5 m (73.8 ft),,375 km/h (233 mph),,"28,200 kg (62,170 lbs)","42,500 kg (93,696 lbs)","2 × turboshafts Soloviev D-25VK 4,045 kW each",450 km (280 mi),"5,500 m (18,045 ft)",,3,105 m² (1130.2 sqft)
ka-226-hoodlum-c,https://globalmilitary.net/aircraft/ka-226-hoodlum-c/,Ka-226 Hoodlum-C,8.1 m (26.6 ft),13 m (42.7 ft),4.2 m (13.6 ft),205 km/h (127 mph),,"1,950 kg (4,299 lbs)","3,450 kg (7,606 lbs)",2 × turboshafts Rolls-Royce 250-C20R2 336 kW each,600 km (373 mi),"6,200 m (20,341 ft)",5.4 m/s (17.7 ft/s),1,
ka-25-hormone,https://globalmilitary.net/aircraft/ka-25-hormone/,Ka-25 Hormone,9.8 m (32.0 ft),15.7 m (51.6 ft),5.4 m (17.6 ft),220 km/h (137 mph),,"4,765 kg (10,505 lbs)","7,500 kg (16,535 lbs)",2 × turboshafts Glushenkov GTD-3F 671 kW each,400 km (249 mi),"3,350 m (10,991 ft)",,4–5,
ka-26,https://globalmilitary.net/aircraft/ka-26/,Ka-26,7.8 m (25.4 ft),13 m (42.7 ft),4.1 m (13.3 ft),170 km/h (106 mph),3 hours,"1,950 kg (4,299 lbs)","3,250 kg (7,165 lbs)",2 × Vedeneyev M-14V-26 242 kW each,400 km (249 mi),"3,000 m (9,843 ft)",,1–2,
ka-27-helix,https://globalmilitary.net/aircraft/ka-27-helix/,Ka-27 Helix,11.3 m (37.1 ft),15.8 m (51.8 ft),5.5 m (18.0 ft),270 km/h (168 mph),,"6,500 kg (14,330 lbs)","12,000 kg (26,455 lbs)","2 × turboshafts Klimov TV3-117V 1,659 kW each",980 km (609 mi),"5,000 m (16,404 ft)",,3,
ka-29-helix-b,https://globalmilitary.net/aircraft/ka-29-helix-b/,Ka-29 Helix-B,11.3 m (37.1 ft),15.8 m (51.8 ft),5.5 m (18.0 ft),270 km/h (168 mph),,"6,500 kg (14,330 lbs)","12,000 kg (26,455 lbs)","2 × turboshafts Isotov TV3-117V 1,660 kW each",980 km (609 mi),"5,000 m (16,404 ft)",,1–3,392.2 m² (4221.6 sqft)
ka-31,https://globalmilitary.net/aircraft/ka-31/,Ka-31,2,12.5 m (41.0 ft),15.9 m (52.2 ft),5.6 m (18.4 ft),397.2 m² (4275.4 sqft),"12,500 kg (27,558 lbs)","2 × Isotov TV3-117VMA 1,864 kW each",250 km/h (155 mph),600 km (373 mi),2 hours,,,,,
ka-50-hokum,https://globalmilitary.net/aircraft/ka-50-hokum/,"Ka-50 Hokum ""Black Shark""",1,16 m (52.5 ft),14.5 m (47.6 ft),4.9 m (16.2 ft),,"10,800 kg (23,810 lbs)","2 × turboshafts Klimov TV3-117VK 1,641 kW each",315 km/h (196 mph),460 km (286 mi),,"7,700 kg (16,976 lbs)",Zvezda K-37-800,"5,500 m (18,045 ft)",10.0 m/s (32.8 ft/s),
ka-52-hokum-b,https://globalmilitary.net/aircraft/ka-52-hokum-b/,Ka-52 Alligator Hokum-B,"2 (pilot, WSO)",15.9 m (52.0 ft),7.8 m (25.7 ft),5.0 m (16.4 ft),330.3 m² (3555.3 sqft),"10,800 kg (23,810 lbs)","2 × turboshafts Klimov VK-2500 1,790 kW each",300 km/h (186 mph),460 km (286 mi),,"7,800 kg (17,196 lbs)",,"5,500 m (18,045 ft)",12.0 m/s (39.4 ft/s),
ka-60-kasatka,https://globalmilitary.net/aircraft/ka-60-kasatka/,Ka-60 Kasatka,1–2,15.6 m (51.2 ft),13.5 m (44.3 ft),4.6 m (15.1 ft),143.1 m² (1540.3 sqft),"6,500 kg (14,330 lbs)",2 × turboshafts Rybinsk RD-600V 956 kW each,300 km/h (186 mph),700 km (435 mi),,,,"5,150 m (16,896 ft)",10.4 m/s (34.1 ft/s),
kaman-22,https://globalmilitary.net/aircraft/kaman-22/,Kaman-22,,,,,,,,,"3,000 km (1,864 mi)",,,,,,
karayel,https://globalmilitary.net/aircraft/karayel/,Karayel,,6.5 m (21.3 ft),13 m (42.7 ft),2.1 m (6.9 ft),,"630 kg (1,389 lbs)",,150 km/h (93 mph),150 km (93 mi),20 hours,,,"5,486 m (17,999 ft)",13.3 m/s (43.6 ft/s),
kargu,https://globalmilitary.net/aircraft/kargu/,Kargu,,0.6 m (2.0 ft),0.6 m (2.0 ft),,,7 kg (15 lbs),4 × Electric motors,72 km/h (45 mph),10 km (6 mi),,,,"2,800 m (9,186 ft)",,
karrar,https://globalmilitary.net/aircraft/karrar/,Karrar,,4 m (13.1 ft),2.5 m (8.2 ft),,,"700 kg (1,543 lbs)",1 × Tolloue 5 or Microturbo TRI 60-5 turbojet 4 kN each,900 km/h (559 mph),"1,000 km (621 mi)",,,,,,
kawasaki-c1,https://globalmilitary.net/aircraft/kawasaki-c1/,Kawasaki C-1,"5 (pilot, co-pilot, WSO, flight engineer, loadmaster)",29 m (95.1 ft),30.3 m (99.4 ft),10.0 m (32.8 ft),120.5 m² (1297.0 sqft),"45,000 kg (99,208 lbs)","2 × turbofans Pratt & Whitney JT8D-M-9 6,574 kgf each",806 km/h (501 mph),"3,353 km (2,083 mi)",,"24,300 kg (53,572 lbs)",,"11,580 m (37,992 ft)",17.8 m/s (58.4 ft/s),"439 m (1,440 ft)"
c2-kawasaki,https://globalmilitary.net/aircraft/c2-kawasaki/,Kawasaki C-2,"3 (2 pilots, loadmaster)",43.9 m (144.0 ft),44.4 m (145.7 ft),14.2 m (46.6 ft),,"141,400 kg (311,733 lbs)",2 × General Electric CF6-80C2K1F 266 kN each,920 km/h (572 mph),"7,600 km (4,722 mi)",,"69,000 kg (152,119 lbs)",,"13,100 m (42,979 ft)",,
kawasaki-p1,https://globalmilitary.net/aircraft/kawasaki-p1/,Kawasaki P-1,38 m (124.7 ft),35.4 m (116.1 ft),12.1 m (39.7 ft),"79,832 kg (175,999 lbs)","4 × turbojets Ishikawa-Harima XF7-10 6,123 kgf each",996 km/h (619 mph),"8,000 km (4,971 mi)","13,472 m (44,199 ft)",,,,,,,
kawasaki-t4,https://globalmilitary.net/aircraft/kawasaki-t4/,Kawasaki T-4,13 m (42.7 ft),9.9 m (32.6 ft),4.6 m (15.1 ft),"7,500 kg (16,535 lbs)","2 × turbojets Ishikawa-Harima F3-IHI-30 1,597 kgf each",1038 km/h (Mach 1.04),"1,668 km (1,036 mi)","15,240 m (50,000 ft)",21 m² (226.0 sqft),"3,790 kg (8,356 lbs)",UPC Stencel SIIS-3,50.8 m/s (166.7 ft/s),,,
kfir,https://globalmilitary.net/aircraft/kfir/,Kfir,15.7 m (51.3 ft),8.2 m (27.0 ft),4.6 m (14.9 ft),"16,200 kg (35,715 lbs)","1 × turbojet General Electric J79-J1E 8,119 kgf each",2440 km/h (Mach 2.44),"1,000 km (621 mi)","17,678 m (57,999 ft)",34.8 m² (374.6 sqft),"7,285 kg (16,061 lbs)",Martin-Baker Mk 6,233.0 m/s (764.4 ft/s),1,,
king-air,https://globalmilitary.net/aircraft/king-air/,King Air 90,11.9 m (39.1 ft),13.8 m (45.1 ft),4.7 m (15.5 ft),"5,352 kg (11,799 lbs)",2 × turboprops Garrett TPE331-6-251B 626 kW each,494 km/h (307 mph),"2,446 km (1,520 mi)","7,574 m (24,849 ft)",26.0 m² (279.7 sqft),"3,217 kg (7,092 lbs)",,10.87 m/s (35.7 ft/s),,4 hours,
korsar,https://globalmilitary.net/aircraft/korsar/,Korsar,4.2 m (13.8 ft),6.5 m (21.3 ft),,400 kg (882 lbs),1 × piston engine,150 km/h (93 mph),250 km (155 mi),"2,000 m (6,562 ft)",,200 kg (441 lbs),,,,12 hours,
hesa-kowsar,https://globalmilitary.net/aircraft/hesa-kowsar/,Kowsar,14.5 m (47.4 ft),8.1 m (26.7 ft),4.1 m (13.4 ft),"9,312 kg (20,529 lbs)",2 × Owj 22 kN each,1700 km/h (Mach 1.7),"2,900 km (1,802 mi)","15,800 m (51,837 ft)",17.3 m² (186.0 sqft),"4,349 kg (9,588 lbs)",,175.0 m/s (574.1 ft/s),2,,
kronshtadt-orion,https://globalmilitary.net/aircraft/kronshtadt-orion/,Kronshtadt Orion,8 m (26.2 ft),16 m (52.5 ft),3 m (9.8 ft),"1,150 kg (2,535 lbs)",,200 km/h (124 mph),"1,440 km (895 mi)","7,500 m (24,606 ft)",,,,,,24 hours,
l159-alca,https://globalmilitary.net/aircraft/l159-alca/,L-159 ALCA,12.7 m (41.7 ft),9.5 m (31.3 ft),4.9 m (16.0 ft),"8,000 kg (17,637 lbs)","1 × turbofan Honeywell F124-GA-100 2,871 kgf each",936 km/h (582 mph),"1,570 km (976 mi)","13,200 m (43,307 ft)",18.8 m² (202.4 sqft),"4,350 kg (9,590 lbs)",VS-2B,62.0 m/s (203.4 ft/s),1,,
l29-delfin,https://globalmilitary.net/aircraft/l29-delfin/,L-29 Delfin,10.8 m (35.5 ft),10.3 m (33.8 ft),3.1 m (10.3 ft),"3,540 kg (7,804 lbs)",1 × turbojet Motorlet M-701C 500 890 kgf each,655 km/h (407 mph),894 km (556 mi),"11,500 m (37,730 ft)",20 m² (215.3 sqft),"2,280 kg (5,027 lbs)",VS-1 BRI,14.0 m/s (45.9 ft/s),2,,
l39-albatros,https://globalmilitary.net/aircraft/l39-albatros/,L-39 Albatros,12.1 m (39.8 ft),9.5 m (31.0 ft),4.8 m (15.6 ft),"4,700 kg (10,362 lbs)","1 × turbofan Ivchenko-Progress AI-25TL 1,720 kgf each",750 km/h (466 mph),"1,100 km (684 mi)","11,500 m (37,730 ft)",18.8 m² (202.4 sqft),"3,459 kg (7,626 lbs)",Aero VS-1,22.0 m/s (72.2 ft/s),2,,"480 m (1,575 ft)"
l-70-vinka,https://globalmilitary.net/aircraft/l-70-vinka/,L-70 Vinka,"2 (student, instructor)",7.5 m (24.6 ft),9.9 m (32.3 ft),3.3 m (10.9 ft),14 m² (150.7 sqft),"767 kg (1,691 lbs)","1,250 kg (2,756 lbs)",1 × Lycoming AEIO-360-A1B6 149 kW each,240 km/h (149 mph),860 km (534 mi),"5,000 m (16,404 ft)",5.7 m/s (18.7 ft/s),,
l-90-redigo,https://globalmilitary.net/aircraft/l-90-redigo/,L-90 Redigo,2,8.5 m (28.0 ft),10.6 m (34.8 ft),3.2 m (10.5 ft),14.8 m² (159.3 sqft),"970 kg (2,138 lbs)","1,900 kg (4,189 lbs)",1 × Allison 250-B17F 340 kW each,354 km/h (220 mph),"1,000 km (621 mi)","6,340 m (20,801 ft)",9.3 m/s (30.5 ft/s),,
la-7-fin,https://globalmilitary.net/aircraft/la-7-fin/,La-7 Fin,1,8.6 m (28.2 ft),9.8 m (32.2 ft),2.5 m (8.3 ft),17.6 m² (189.3 sqft),"2,638 kg (5,816 lbs)","3,315 kg (7,308 lbs)","1 × radial piston engine Shvetsov ASh-82FN 1,380 kW each",661 km/h (411 mph),665 km (413 mi),"10,450 m (34,285 ft)",15.7 m/s (51.5 ft/s),,
lakshya,https://globalmilitary.net/aircraft/lakshya/,Lakshya,,2.4 m (7.8 ft),5 m (16.4 ft),,2.3 m² (24.4 sqft),,"705 kg (1,554 lbs)",1 × HAL PTAE-7 turbojet 380 kgf each,858 km/h (533 mph),150 km (93 mi),"9,000 m (29,528 ft)",25.0 m/s (82.0 ft/s),,
lasta-95,https://globalmilitary.net/aircraft/lasta-95/,Lasta-95,,,9.7 m (31.8 ft),,,"888 kg (1,958 lbs)",,,345 km/h (214 mph),"1,160 km (721 mi)","6,000 m (19,685 ft)",8.5 m/s (27.9 ft/s),,
learjet-35,https://globalmilitary.net/aircraft/learjet-35/,Learjet 35,,,12.0 m (39.5 ft),,,"4,152 kg (9,154 lbs)",,,872 km/h (542 mph),"5,291 km (3,288 mi)","13,716 m (45,000 ft)",23.0 m/s (75.5 ft/s),,
learjet-45,https://globalmilitary.net/aircraft/learjet-45/,Learjet 45,,17.6 m (57.6 ft),14.6 m (47.8 ft),4.3 m (14.1 ft),29.0 m² (311.6 sqft),"5,829 kg (12,851 lbs)","9,163 kg (20,201 lbs)","2 × turbofans Honeywell TFE731-20 1,588 kgf each",858 km/h (533 mph),"3,167 km (1,968 mi)","15,545 m (51,001 ft)",14.5 m/s (47.6 ft/s),"1,536 m (5,039 ft)",
