SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
ah-1-cobra,https://globalmilitary.net/aircraft/ah-1-cobra/,AH-1 Cobra,"2 (pilot, co-pilot/gunner)",17.8 m (58.3 ft),13.4 m (44.0 ft),4.4 m (14.4 ft),"5,579 kg (12,300 lbs)","8,391 kg (18,499 lbs)","2 × turboshafts General Electric T700-GE-401C 1,342 kW each",277 km/h (172 mph),570 km (354 mi),"6,096 m (20,000 ft)",14.2 m/s (46.6 ft/s),,,
ah-1w-super-cobra,https://globalmilitary.net/aircraft/ah-1w-super-cobra/,AH-1W Super Cobra,"2 (pilot, co-pilot/gunner)",17.7 m (58.0 ft),13.9 m (45.6 ft),4.2 m (13.7 ft),"4,627 kg (10,201 lbs)","6,690 kg (14,749 lbs)","2 × General Electric T700-401 1,260 kW each",350 km/h (217 mph),587 km (365 mi),"3,700 m (12,139 ft)",8.2 m/s (26.9 ft/s),140.7 m² (1515.0 sqft),,
ah-1z-viper,https://globalmilitary.net/aircraft/ah-1z-viper/,AH-1Z Viper,"2 (pilot, co-pilot/gunner)",17.8 m (58.2 ft),15 m (49.2 ft),4.4 m (14.3 ft),"5,579 kg (12,300 lbs)","8,391 kg (18,499 lbs)","2 × General Electric T700-GE-401C 1,300 kW each",411 km/h (255 mph),690 km (429 mi),"6,100 m (20,013 ft)",14.2 m/s (46.6 ft/s),168 m² (1808.3 sqft),,
ah-2-rooivalk,https://globalmilitary.net/aircraft/ah-2-rooivalk/,AH-2 Rooivalk,,18.7 m (61.5 ft),15.6 m (51.1 ft),5.2 m (17.0 ft),"5,730 kg (12,632 lbs)","8,750 kg (19,290 lbs)","2 × turboshafts Turbomeca Makila 1K2 1,420 kW each",309 km/h (192 mph),740 km (460 mi),"6,096 m (20,000 ft)",13.3 m/s (43.6 ft/s),,,
ah-6-little-bird,https://globalmilitary.net/aircraft/ah-6-little-bird/,AH-6 Little Bird,2,9.2 m (30.1 ft),8.4 m (27.4 ft),2.6 m (8.6 ft),"896 kg (1,975 lbs)","1,610 kg (3,549 lbs)",1 × turboshaft Allison T63-A5-A 239 kW each,282 km/h (175 mph),430 km (267 mi),"4,877 m (16,001 ft)",10.5 m/s (34.4 ft/s),,,
ah-64-apache,https://globalmilitary.net/aircraft/ah-64-apache/,AH-64 Apache,"2 (pilot, co-pilot/gunner)",17.7 m (58.2 ft),14.6 m (48.0 ft),5.0 m (16.2 ft),"5,352 kg (11,799 lbs)","10,107 kg (22,282 lbs)","2 × turboshafts General Electric T700-GE-701C 1,208 kW each",293 km/h (182 mph),480 km (298 mi),"5,670 m (18,602 ft)",15.7 m/s (51.5 ft/s),,,
amca,https://globalmilitary.net/aircraft/amca/,AMCA,1,18 m (59.1 ft),11.1 m (36.5 ft),4.5 m (14.8 ft),55 m² (592.0 sqft),"12,000 kg (26,455 lbs)","27,000 kg (59,525 lbs)",2 × General Electric F414 (Mk 1),1912 km/h (Mach 1.91),"5,325 km (3,309 mi)","20,000 m (65,617 ft)",,,
amx,https://globalmilitary.net/aircraft/amx/,AMX,1,13.6 m (44.6 ft),8.8 m (29.0 ft),4.6 m (14.9 ft),68.9 m² (741.5 sqft),"6,730 kg (14,837 lbs)","13,000 kg (28,660 lbs)","1 × turbofan Rolls-Royce RB.168 Spey Mk 807 5,003 kgf each",1160 km/h (Mach 1.16),"3,336 km (2,073 mi)","13,000 m (42,651 ft)",Martin-Baker Mk 10,52.0 m/s (170.6 ft/s),
an-bk-1-horlytsia,https://globalmilitary.net/aircraft/an-bk-1-horlytsia/,AN-BK-1 Horlytsia,,8 m (26.2 ft),14 m (45.9 ft),2 m (6.6 ft),,"500 kg (1,102 lbs)","1,000 kg (2,205 lbs)",,230 km/h (143 mph),"1,050 km (652 mi)","5,000 m (16,404 ft)",,,7 hours
aq-400-scythe,https://globalmilitary.net/aircraft/aq-400-scythe/,AQ-400 Scythe,,,2.3 m (7.5 ft),,,,100 kg (220 lbs),1 × piston engine,200 km/h (124 mph),750 km (466 mi),"3,000 m (9,843 ft)",,,6 hours
