SLUG,URL,PAGE_FOUND
dhc-3-otter,https://globalmilitary.net/aircraft/dhc-3-otter/,4
dhc-4-caribou,https://globalmilitary.net/aircraft/dhc-4-caribou/,4
dhc-5-buffalo,https://globalmilitary.net/aircraft/dhc-5-buffalo/,4
dhc-6-twin-otter,https://globalmilitary.net/aircraft/dhc-6-twin-otter/,4
dhc-7-dash-7,https://globalmilitary.net/aircraft/dhc-7-dash-7/,4
dhc-8-dash-8,https://globalmilitary.net/aircraft/dhc-8-dash-8/,4
seeker,https://globalmilitary.net/aircraft/seeker/,4
dhruv,https://globalmilitary.net/aircraft/dhruv/,4
da-62,https://globalmilitary.net/aircraft/da-62/,4
dornier-128,https://globalmilitary.net/aircraft/dornier-128/,4
dornier-228,https://globalmilitary.net/aircraft/dornier-228/,4
dornier-328,https://globalmilitary.net/aircraft/dornier-328/,4
dc-3,https://globalmilitary.net/aircraft/dc-3/,4
e2-hawkeye,https://globalmilitary.net/aircraft/e2-hawkeye/,4
e3-sentry-awacs,https://globalmilitary.net/aircraft/e3-sentry-awacs/,4
e4-noac,https://globalmilitary.net/aircraft/e4-noac/,5
e6-mercury,https://globalmilitary.net/aircraft/e6-mercury/,5
e7-wedgetail,https://globalmilitary.net/aircraft/e7-wedgetail/,5
e8-joint-stars,https://globalmilitary.net/aircraft/e8-joint-stars/,5
ea-18g-growler,https://globalmilitary.net/aircraft/ea-18g-growler/,5
ea-37b-compass-call,https://globalmilitary.net/aircraft/ea-37b-compass-call/,5
ea-6b-prowler,https://globalmilitary.net/aircraft/ea-6b-prowler/,5
ec-130-commando-solo,https://globalmilitary.net/aircraft/ec-130-commando-solo/,5
ec-130h-compass-call,https://globalmilitary.net/aircraft/ec-130h-compass-call/,5
ec-135-aria,https://globalmilitary.net/aircraft/ec-135-aria/,5
tiger,https://globalmilitary.net/aircraft/tiger/,5
ef-111-raven,https://globalmilitary.net/aircraft/ef-111-raven/,5
emb-110,https://globalmilitary.net/aircraft/emb-110/,5
emb-120,https://globalmilitary.net/aircraft/emb-120/,5
emb-121-xingu,https://globalmilitary.net/aircraft/emb-121-xingu/,5
emb-312,https://globalmilitary.net/aircraft/emb-312/,5
emb-314-super-tucano,https://globalmilitary.net/aircraft/emb-314-super-tucano/,5
luna,https://globalmilitary.net/aircraft/luna/,5
erj-135,https://globalmilitary.net/aircraft/erj-135/,5
eitan,https://globalmilitary.net/aircraft/eitan/,5
skylark,https://globalmilitary.net/aircraft/skylark/,5
eleron-3,https://globalmilitary.net/aircraft/eleron-3/,5
lightning,https://globalmilitary.net/aircraft/lightning/,5
enstrom-480,https://globalmilitary.net/aircraft/enstrom-480/,5
enstrom-f-28,https://globalmilitary.net/aircraft/enstrom-f-28/,5
eurodrone,https://globalmilitary.net/aircraft/eurodrone/,5
f100-super-sabre,https://globalmilitary.net/aircraft/f100-super-sabre/,5
f101-voodoo,https://globalmilitary.net/aircraft/f101-voodoo/,5
f102-delta-dagger,https://globalmilitary.net/aircraft/f102-delta-dagger/,5
f104-starfighter,https://globalmilitary.net/aircraft/f104-starfighter/,5
f105-thunderchief,https://globalmilitary.net/aircraft/f105-thunderchief/,5
f106-delta-dart,https://globalmilitary.net/aircraft/f106-delta-dart/,5
f111-aardvark,https://globalmilitary.net/aircraft/f111-aardvark/,5
f117-nighthawk,https://globalmilitary.net/aircraft/f117-nighthawk/,5
f14-tomcat,https://globalmilitary.net/aircraft/f14-tomcat/,5
f15-eagle,https://globalmilitary.net/aircraft/f15-eagle/,5
f15e-strike-eagle,https://globalmilitary.net/aircraft/f15e-strike-eagle/,5
f15ex-eagle-ii,https://globalmilitary.net/aircraft/f15ex-eagle-ii/,5
f15i-raam,https://globalmilitary.net/aircraft/f15i-raam/,5
f16-fighting-falcon,https://globalmilitary.net/aircraft/f16-fighting-falcon/,5
f16i-sufa,https://globalmilitary.net/aircraft/f16i-sufa/,5
f16v-viper,https://globalmilitary.net/aircraft/f16v-viper/,5
f22-raptor,https://globalmilitary.net/aircraft/f22-raptor/,5
f35-lightning-ii,https://globalmilitary.net/aircraft/f35-lightning-ii/,5
f4-phantom-ii,https://globalmilitary.net/aircraft/f4-phantom-ii/,5
f47,https://globalmilitary.net/aircraft/f47/,5
f5-freedom-fighter,https://globalmilitary.net/aircraft/f5-freedom-fighter/,5
f5e-tiger-ii,https://globalmilitary.net/aircraft/f5e-tiger-ii/,5
f8-crusader,https://globalmilitary.net/aircraft/f8-crusader/,6
f84-thunderjet,https://globalmilitary.net/aircraft/f84-thunderjet/,6
f84f-thunderstreak,https://globalmilitary.net/aircraft/f84f-thunderstreak/,6
f86-sabre,https://globalmilitary.net/aircraft/f86-sabre/,6
fck-1-ching-kuo,https://globalmilitary.net/aircraft/fck-1-ching-kuo/,6
fa-18ef-super-hornet,https://globalmilitary.net/aircraft/fa-18ef-super-hornet/,6
fa-18-hornet,https://globalmilitary.net/aircraft/fa-18-hornet/,6
f27-friendship,https://globalmilitary.net/aircraft/f27-friendship/,6
f28-fellowship,https://globalmilitary.net/aircraft/f28-fellowship/,6
f406-caravan-ii,https://globalmilitary.net/aircraft/f406-caravan-ii/,6
fa-50-fighting-eagle,https://globalmilitary.net/aircraft/fa-50-fighting-eagle/,6
fp-1,https://globalmilitary.net/aircraft/fp-1/,6
fq-42-dark-merlin,https://globalmilitary.net/aircraft/fq-42-dark-merlin/,6
fq-44-fury,https://globalmilitary.net/aircraft/fq-44-fury/,6
ft5-los,https://globalmilitary.net/aircraft/ft5-los/,6
metroliner,https://globalmilitary.net/aircraft/metroliner/,6
gannet,https://globalmilitary.net/aircraft/gannet/,6
falcon-10,https://globalmilitary.net/aircraft/falcon-10/,6
falcon-20,https://globalmilitary.net/aircraft/falcon-20/,6
falcon-2000,https://globalmilitary.net/aircraft/falcon-2000/,6
falcon-50,https://globalmilitary.net/aircraft/falcon-50/,6
falcon-7x,https://globalmilitary.net/aircraft/falcon-7x/,6
falcon-8x,https://globalmilitary.net/aircraft/falcon-8x/,6
falcon-900,https://globalmilitary.net/aircraft/falcon-900/,6
flyeye,https://globalmilitary.net/aircraft/flyeye/,6
fokker-f50,https://globalmilitary.net/aircraft/fokker-f50/,6
forpost,https://globalmilitary.net/aircraft/forpost/,6
fotros,https://globalmilitary.net/aircraft/fotros/,6
fuji-t-1,https://globalmilitary.net/aircraft/fuji-t-1/,6
fuji-t3,https://globalmilitary.net/aircraft/fuji-t3/,6
fuji-t-5,https://globalmilitary.net/aircraft/fuji-t-5/,6
fuji-t-7,https://globalmilitary.net/aircraft/fuji-t-7/,6
g2-galeb,https://globalmilitary.net/aircraft/g2-galeb/,6
g222,https://globalmilitary.net/aircraft/g222/,6
g91-gina,https://globalmilitary.net/aircraft/g91-gina/,6
nomad,https://globalmilitary.net/aircraft/nomad/,6
phoenix,https://globalmilitary.net/aircraft/phoenix/,6
gj-11-sharp-sword,https://globalmilitary.net/aircraft/gj-11-sharp-sword/,6
gnat-750,https://globalmilitary.net/aircraft/gnat-750/,6
garpiya-a1,https://globalmilitary.net/aircraft/garpiya-a1/,6
geran-5,https://globalmilitary.net/aircraft/geran-5/,6
gerbera,https://globalmilitary.net/aircraft/gerbera/,6
ga8-airvan,https://globalmilitary.net/aircraft/ga8-airvan/,6
globaleye,https://globalmilitary.net/aircraft/globaleye/,6
g-115,https://globalmilitary.net/aircraft/g-115/,6
g-120,https://globalmilitary.net/aircraft/g-120/,6
cabri-g2,https://globalmilitary.net/aircraft/cabri-g2/,6
gulfstream-g100,https://globalmilitary.net/aircraft/gulfstream-g100/,6
gulfstream-g550,https://globalmilitary.net/aircraft/gulfstream-g550/,7
gulfstream-g650,https://globalmilitary.net/aircraft/gulfstream-g650/,7
gulfstream-ii,https://globalmilitary.net/aircraft/gulfstream-ii/,7
gulfstream-iii,https://globalmilitary.net/aircraft/gulfstream-iii/,7
gulfstream-iv,https://globalmilitary.net/aircraft/gulfstream-iv/,7
gulfstream-v,https://globalmilitary.net/aircraft/gulfstream-v/,7
h-19-chickasaw,https://globalmilitary.net/aircraft/h-19-chickasaw/,7
h-5,https://globalmilitary.net/aircraft/h-5/,7
h-6,https://globalmilitary.net/aircraft/h-6/,7
h120,https://globalmilitary.net/aircraft/h120/,7
